name	sex	dramaRatio	actionRatio	comedyRation	total
Gail	F	0.344551474585055	0.360957212978278	0.294491312436668	210
Archie	M	0.331105940222585	0.288573746130658	0.380320313646757	210
Gabe	M	0.28543866823898	0.41661584217073	0.29794548959029	210
Logan	M	0.275831771876253	0.430189147697125	0.293979080426622	210
Emilia	F	0.514805506735769	0.238732248062617	0.246462245201615	209
Annette	F	0.377456041306798	0.164140141621769	0.458403817071433	209
Mabel	F	0.241632573620726	0.261702667018473	0.496664759360801	209
Carolina	F	0.430619528187228	0.168215496490448	0.401164975322324	208
Lukas	M	0.374047124201498	0.305163200146192	0.32078967565231	208
Abraham	M	0.397913071447159	0.372801277123493	0.229285651429348	207
Alec	M	0.370859365428406	0.386145844707515	0.242994789864079	207
Dona	F	0.384464964076842	0.288703147275942	0.326831888647217	207
Frederick	M	0.336661845606796	0.355543877385375	0.307794277007829	207
Lu	M	0.262832702109128	0.630129324872501	0.107037973018371	207
Brigitte	F	0.335872669873593	0.162969130904021	0.501158199222386	207
Finn	M	0.249468898841648	0.501952755569818	0.248578345588534	207
Hasan	M	0.410242851731795	0.393518612376379	0.196238535891826	206
Theresa	F	0.427951645353674	0.213130938229048	0.358917416417278	206
Mina	F	0.387698463861496	0.346169103910562	0.266132432227942	206
Toni	F	0.36677853611094	0.27954158198465	0.35367988190441	205
Winston	M	0.287446788409001	0.360050924439507	0.352502287151492	205
Armando	M	0.371634366207318	0.251582844716494	0.376782789076188	204
Lila	F	0.35182478140021	0.31691647136847	0.33125874723132	204
Georgia	F	0.394034856745884	0.25483880061557	0.351126342638546	203
Bryan	M	0.302508280063507	0.339067093662588	0.358424626273905	203
Horace	M	0.242002625617333	0.240129850897458	0.517867523485208	203
Markus	M	0.396168598125017	0.334458081499278	0.269373320375704	202
Caleb	M	0.382636825191392	0.369261428017243	0.248101746791365	202
Laurie	F	0.376290400559373	0.284159972864272	0.339549626576355	202
Percy	M	0.20155289811058	0.376377881755463	0.422069220133956	202
Guido	M	0.42756893875169	0.161956099672556	0.410474961575754	201
Francesco	M	0.385743258458396	0.203689036309374	0.41056770523223	201
Lulu	F	0.315256495460776	0.176928942980763	0.50781456155846	201
Kathleen	F	0.512254497717661	0.248029375732752	0.239716126549588	200
Brooke	F	0.343884974482476	0.2830606252793	0.373054400238225	200
Marian	F	0.253181933931347	0.54962796766218	0.197190098406472	200
Connor	M	0.251123944009482	0.494195136566551	0.254680919423967	200
Lester	M	0.296772230693485	0.218415869048208	0.484811900258307	200
Jakob	M	0.55886558896635	0.134311455375041	0.306822955658609	199
Eileen	F	0.439658356310713	0.220816784943332	0.339524858745955	199
Monique	F	0.421796990635646	0.185995726514263	0.392207282850091	199
Lana	F	0.311902551817122	0.381132467919319	0.306964980263559	199
Les	M	0.333980354175603	0.263453381057026	0.402566264767371	199
Maxine	F	0.323935759945141	0.272313099913138	0.403751140141721	199
Amir	M	0.442823526340754	0.326591559811417	0.230584913847829	198
Elias	M	0.405299668801973	0.423118483090208	0.171581848107818	198
Rahul	M	0.353342705392306	0.362184997681065	0.284472296926629	198
Ethel	F	0.331365063040861	0.123979619111697	0.544655317847441	198
Brett	M	0.285688499797442	0.352736400490319	0.361575099712239	198
Belle	F	0.253919998610074	0.423052589450484	0.323027411939442	198
Leila	F	0.457583473150209	0.257223572817946	0.285192954031845	197
Lillian	F	0.430999413301572	0.117170678035482	0.451829908662946	197
Roberta	F	0.364253794130811	0.258674039892261	0.377072165976928	197
Ursula	F	0.336098242981986	0.343047444589842	0.320854312428172	197
Pearl	F	0.307441870113243	0.366134226745228	0.326423903141529	197
Jasper	M	0.289373530721202	0.397857235072227	0.312769234206571	197
Vicki	F	0.265149104582572	0.351331026765167	0.383519868652261	197
Penelope	F	0.244951818858852	0.382572758665388	0.37247542247576	197
Constance	F	0.335350518456071	0.371691626994513	0.292957854549416	196
Jade	F	0.289762297360564	0.472000416111486	0.23823728652795	196
Richie	M	0.326535117855032	0.305559863001403	0.367905019143566	196
Lionel	M	0.329840878536446	0.193067069383668	0.477092052079887	196
Anders	M	0.450401008767549	0.269626713218776	0.279972278013675	195
Gavin	M	0.330525893593775	0.277853024628475	0.39162108177775	195
Millie	F	0.330784804252295	0.257638958809551	0.411576236938154	195
Adriana	F	0.410496668858377	0.308250923540635	0.281252407600988	194
Daniela	F	0.416851841043866	0.201465859624777	0.381682299331356	194
Sylvie	F	0.433782030421121	0.0808431440044112	0.485374825574468	194
Martina	F	0.469008067490322	0.194648411307066	0.336343521202612	193
Jaime	M	0.399848381680612	0.308369888968108	0.291781729351281	193
Jana	F	0.392058424262984	0.200520971773717	0.407420603963299	193
Cody	M	0.226056025872126	0.442550970693562	0.331393003434312	193
Lea	F	0.515582952151395	0.198932660512456	0.285484387336149	192
Raul	M	0.432209404956049	0.282156664284088	0.285633930759862	192
Geoffrey	M	0.374086890759734	0.316718336015653	0.309194773224613	192
Bradley	M	0.290001753790812	0.344183557766176	0.365814688443013	192
Tomas	M	0.526082528404343	0.282272808103764	0.191644663491893	191
Elise	F	0.434696076606959	0.217241539476556	0.348062383916485	191
Milo	M	0.24658111556559	0.441903488435298	0.311515395999112	191
Rod	M	0.17774632057495	0.489290983847077	0.332962695577974	191
Chester	M	0.171468032085549	0.355463140356215	0.473068827558236	191
Paulo	M	0.423482910576088	0.283799440178782	0.29271764924513	190
Gustavo	M	0.435626891966375	0.206746391439013	0.357626716594612	190
Sadie	F	0.330605906651601	0.30431773333202	0.365076360016379	190
Shannon	F	0.340281087682799	0.221612971849351	0.43810594046785	190
