name	sex	total	realFreq	cinemaFreq	ratio	
Fred	M	342878	0.0984940511277018	0.186776658604606	0.345265208685906	False
Lori	F	340797	0.0978962696415851	0.0316684006231092	0.755578426137216	True
Philip	M	338871	0.097343012965823	0.097569896285988	0.499417987959248	False
Vincent	M	337626	0.0969853781987805	0.131914499778656	0.423702183923142	False
Gabriel	M	337623	0.0969845164282575	0.101138166778733	0.489517479060851	False
Alexis	F	336623	0.0966972595872595	0.025423927260806	0.791813952050461	True
Kayla	F	336512	0.0966653740779088	0.0178413524637235	0.844189481242076	True
Tiffany	F	336115	0.0965513331120326	0.0441573473477157	0.686178939327432	True
Sophia	F	336037	0.0965289270784347	0.0458299741411898	0.678067379359121	True
Florence	F	335187	0.0962847587635865	0.0458299741411898	0.677514264675865	True
Kathy	F	333534	0.0958099232054168	0.0654554618512856	0.594113381316946	True
Louise	F	332672	0.0955623078084766	0.12968433072069	0.424256310471432	False
Lois	F	331960	0.095357780937686	0.031556892170211	0.751353477124093	True
Tammy	F	331729	0.0952914246074155	0.0299957738296352	0.760583888826389	True
Crystal	F	329879	0.0947599994515692	0.0396970092317848	0.704760580199496	True
Randy	M	327285	0.0940148552060205	0.0606605983766599	0.607820135828893	True
Bonnie	F	323996	0.0930700674559782	0.0420386867426485	0.688852976315314	True
Phyllis	F	322369	0.0926027005756745	0.0282116385832628	0.766487663801654	True
Anne	F	321103	0.0922390334149711	0.195585826383569	0.320469307201375	False
Isabella	F	320723	0.0921298758153918	0.0391394669672935	0.701838478523593	True
Logan	M	320461	0.0920546145230504	0.0351251626629557	0.72381487497353	True
Taylor	F	317936	0.0913292909995305	0.0336755527752781	0.730606016868088	True
Victor	M	315431	0.0906097126128306	0.176071847126371	0.339767446618512	False
Bobby	M	313213	0.0899725769394971	0.168154746970594	0.348558903321818	False
Erin	F	312491	0.0897651775002965	0.0341215865868712	0.724574397932753	True
Johnny	M	311565	0.0894991776655324	0.277544539263799	0.243837923216008	False
Phillip	M	307300	0.0882740272386761	0.0530780235795775	0.624497676034261	True
Martin	M	306299	0.0879864831408371	0.303637517241995	0.224670814492539	False
Alyssa	F	304582	0.0874932631448436	0.015165149594165	0.852275627593037	True
Josephine	F	304208	0.0873858290863104	0.0250894019021112	0.776933981983163	True
Bradley	M	304142	0.0873668701348045	0.0281001301303645	0.756639298969985	True
Clarence	M	302433	0.086875948193539	0.0281001301303645	0.755600203624944	True
Shawn	M	301891	0.0867202549857181	0.0267620286955853	0.764174390685139	True
Travis	M	301265	0.0865404322032533	0.056980819431017	0.602979915641908	True
Ernest	M	300826	0.0864143264500552	0.0401430430433779	0.682807542507741	True
Stanley	M	298828	0.0858403872817413	0.0712539014019958	0.546425894925789	True
Craig	M	298571	0.0857665622736048	0.0692467492498269	0.553285143261006	True
Ella	F	296792	0.0852555323534694	0.0516284136918999	0.622830761506627	True
Allison	F	295039	0.0847519711112	0.0486176854636466	0.635466666764921	True
Shannon	F	294878	0.0847057227597993	0.031556892170211	0.728572317169985	True
Edna	F	294224	0.0845178567857866	0.0262044864310939	0.76333154023154	True
Peggy	F	292585	0.084047042823391	0.0646749026809977	0.565128720837711	True
Tina	F	291435	0.0837166974562433	0.118310468525067	0.414383367947596	False
Leonard	M	290996	0.0835905917030452	0.0531895320324757	0.611131130899374	True
Robin	F	289395	0.0831306935006074	0.0350136542100574	0.703636653902345	True
Dawn	F	288888	0.0829850542822215	0.0390279585143952	0.680132818460513	True
